scenario,context_level,method,step,time,robot_x,robot_y,robot_vx,robot_vy,robot_theta,human_x,human_y,human_vx,human_vy,human_type,motion_state,attention_state,ttc,head_on_factor,crowding_factor,distance,clearance,beta_candidate,beta_final,beta_requested,beta_applied,beta_dynamic,beta_cbf,delta_beta,h_standard,h_ee,h_see,h_cbf,slack,controller_type,horizon_steps,predicted_min_h,solver_success,solver_backend,solver_status,solver_iterations,solve_time_ms,active_constraints,min_cbf_value,guard_status,guard_active,u_ref_x,u_ref_y,cmd_vx,cmd_vy,cmd_v,cmd_omega,speed,command_step,path_length,goal_error
local_crowding,context_ext,Standard MPC-CBF,0,0.000,-2.200000,-0.350000,0.000000,0.000000,0.000000,0.150000,-1.100000,-0.060000,0.420000,pedestrian,walking,unknown,10.098536,1.000000,1.000000,2.466779,1.866779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.866779,1.866779,1.866779,1.866779,0.000000,horizon_mpc_secbf,4,1.525407,true,osqp,optimal,50,2.545652,0,1.090306,geometric,false,0.750000,0.000000,0.621017,0.000000,,,0.621017,0.621017,0.062102,4.400000
local_crowding,context_ext,Standard MPC-CBF,1,0.100,-2.137898,-0.350000,0.621017,0.000000,0.000000,0.144000,-1.058000,-0.060000,0.420000,pedestrian,walking,unknown,2.308990,1.000000,1.000000,2.389210,1.789210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.789210,1.789210,1.789210,1.789210,0.000000,horizon_mpc_secbf,4,1.437473,true,osqp,optimal,50,2.406120,0,0.913957,geometric,false,0.750000,-0.000000,0.726101,-0.000000,,,0.726101,0.105085,0.134712,4.337898
local_crowding,context_ext,Standard MPC-CBF,2,0.200,-2.065288,-0.350000,0.726101,-0.000000,-0.000000,0.138000,-1.016000,-0.060000,0.420000,pedestrian,walking,unknown,1.947076,1.000000,1.000000,2.301746,1.701746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.701746,1.701746,1.701746,1.701746,0.000000,horizon_mpc_secbf,4,1.349725,true,osqp,optimal,50,2.970123,0,0.818662,geometric,false,0.750000,0.000000,0.735590,-0.000000,,,0.735590,0.009489,0.208271,4.265288
local_crowding,context_ext,Standard MPC-CBF,3,0.300,-1.991729,-0.350000,0.735590,-0.000000,-0.000000,0.132000,-0.974000,-0.060000,0.420000,pedestrian,walking,unknown,1.829945,1.000000,1.000000,2.213504,1.613504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.613504,1.613504,1.613504,1.613504,0.000000,horizon_mpc_secbf,4,1.262187,true,osqp,optimal,50,2.476785,0,0.731780,geometric,false,0.750000,0.000000,0.735591,-0.000000,,,0.735591,0.000001,0.281830,4.191729
local_crowding,context_ext,Standard MPC-CBF,4,0.400,-1.918170,-0.350000,0.735591,-0.000000,-0.000000,0.126000,-0.932000,-0.060000,0.420000,pedestrian,walking,unknown,1.733041,1.000000,1.000000,2.125407,1.525407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.525407,1.525407,1.525407,1.525407,0.000000,horizon_mpc_secbf,4,1.175092,true,osqp,optimal,50,2.352237,0,0.645226,geometric,false,0.750000,0.000000,0.735591,0.000035,,,0.735591,0.000035,0.355389,4.118170
local_crowding,context_ext,Standard MPC-CBF,5,0.500,-1.844611,-0.349997,0.735591,0.000035,0.000047,0.120000,-0.890000,-0.060000,0.420000,pedestrian,walking,unknown,1.636383,1.000000,1.000000,2.037474,1.437474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.437474,1.437474,1.437474,1.437474,0.000000,horizon_mpc_secbf,4,1.088782,true,osqp,optimal,50,2.385660,0,0.559099,geometric,false,0.750000,-0.000001,0.735591,0.000303,,,0.735591,0.000269,0.428948,4.044611
local_crowding,context_ext,Standard MPC-CBF,6,0.600,-1.771052,-0.349966,0.735591,0.000303,0.000412,0.114000,-0.848000,-0.060000,0.420000,pedestrian,walking,unknown,1.540080,1.000000,1.000000,1.949733,1.349733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.349733,1.349733,1.349733,1.349733,0.000000,horizon_mpc_secbf,4,1.003209,true,osqp,optimal,50,2.155524,0,0.473722,geometric,false,0.750000,-0.000006,0.735591,0.001845,,,0.735594,0.001542,0.502508,3.971052
local_crowding,context_ext,Standard MPC-CBF,7,0.700,-1.697493,-0.349782,0.735591,0.001845,0.002508,0.108000,-0.806000,-0.060000,0.420000,pedestrian,walking,unknown,1.444560,1.000000,1.000000,1.862240,1.262240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.262240,1.262240,1.262240,1.262240,0.000000,horizon_mpc_secbf,4,0.918321,true,osqp,optimal,50,2.286421,0,0.390584,geometric,false,0.750000,-0.000042,0.735591,0.010548,,,0.735667,0.008703,0.576074,3.897493
local_crowding,context_ext,Standard MPC-CBF,8,0.800,-1.623933,-0.348727,0.735591,0.010548,0.014339,0.102000,-0.764000,-0.060000,0.420000,pedestrian,walking,unknown,1.351880,1.000000,1.000000,1.775190,1.175190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.175190,1.175190,1.175190,1.175190,0.000000,horizon_mpc_secbf,4,0.834060,true,osqp,optimal,50,2.755289,0,0.310858,geometric,false,0.750000,-0.000250,0.735592,0.031786,,,0.736278,0.021237,0.649702,3.823934
local_crowding,context_ext,Standard MPC-CBF,9,0.900,-1.550374,-0.345548,0.735592,0.031786,0.043184,0.096000,-0.722000,-0.060000,0.420000,child,crossing,distracted,1.263025,1.000000,1.000000,1.688865,1.088865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.088865,1.088865,1.088865,1.088865,0.000000,horizon_mpc_secbf,4,0.750351,true,osqp,optimal,50,2.351520,0,0.231832,geometric,false,0.749999,-0.000890,0.735592,0.054557,,,0.737612,0.022772,0.723463,3.750377
